French,English,Pronunciation,Part of speech
tête,head,tɛt,"n, fem"
demain,tomorrow,dəmɛ̃,adv
grand,"big, great, large",gʀɑ̃,adj
hein,"isn't it, isn't that so, or not",ɛ̃,int
enfants,sons and daughters,ɑ̃fɑ̃,n
assez,"enough, quite, rather, sufficiently",ase,adv
raison,"reason, logical reasoning",ʀɛzɔ̃,"n, fem"
elles,they,ɛl,pron
moment,"instant, moment",mɔmɑ̃,"n, masc"
heure,"hour, o'clock, time",œʀ,"n, fem"
puis,"afterwards, next, subsequently",pɥi,
amour,"affection, love",amuʀ,"n, masc"
tard,late,taʀ,adv
toutes,both,tut,
tuer,"kill, liquidate, slay",tye,v
ami,1. friend,ami,"n, masc"
ami,2. fellow-thinker,ami,"n, masc"
aider,"1. abet, aid, assist, help",ɛde,v
aider,2. accommodate,ɛde,v
chance,"chance, luck",ʃɑ̃s,"n, fem"
partir,1. start out,paʀtiʀ,v
partir,"2. discharge, fire, fire off",paʀtiʀ,v
partir,"3. absent onself, depart, go away, leave",paʀtiʀ,v
partir,4. start off,paʀtiʀ,v
combien,1. how many,kɔ̃bi,adj
combien,2. how much,kɔ̃bi,adj
voiture,"vehicle, car, motor car",vwatyʀ,"n, fem"
tant,"so much, lots, that much",tɑ̃,adv
part,"1. part, Parthian, share",paʀ,"n, fem"
part,2. piece,paʀ,"n, fem"
problème,"problem, trouble",pʀoblɛm,"n, masc"
porte,door,pɔʀt,"n, fem"
coup,1. blow,ku,"n, masc"
coup,2. knock,ku,"n, masc"
venir,come,vəniʀ,v
famille,family,famij,"n, fem"
travail,"work, employment",tʀavaj,"n, masc"
sens,"meaning, sense",sɑ̃s,"n, masc"
revoir,1. see again,ʀəvwaʀ,v
revoir,2. revise,ʀəvwaʀ,v
idée,idea,ide,"n, fem"
putain,"hooker, prostitute, whore",pytɛ̃,"n, fem"
passer,1. give,pase,v
passer,"2. pass, pass by",pase,v
passer,3. spend,pase,v
passer,4. overtake,pase,v
passer,"5. cross, go beyond, transfer",pase,v
contre,"1. across from, against, in exchange for, opposed to, opposite, upon",kɔ̃tʀ,adv
contre,2. on,kɔ̃tʀ,adv
trouver,find,tʀuve,v
vieux,"1. decayed, decrepit, dilapidated, lapsed, rickety",vjø,adj
vieux,2. old,vjø,adj
pendant,"for, during, whereas, while, whilst",pɑ̃dɑ̃,prep
attention,"acuity, advertence, advertency, attention",atɑ̃tjɔ̃,"n, fem"
chercher,"look for, seek",ʃɛʀʃe,v
sous,"below, beneath, under, underneath",su,prep
voici,"behold, here is, here are, look, there",vwasi,prep
sang,blood,sɑ̃,"n, masc"
sortir,"come out, go out",sɔʀtiʀ,vi
question,question,kɛstjɔ̃,"n, fem"
histoire,1. fairy tale,istwaʀ,"n, fem"
histoire,"2. story, history",istwaʀ,"n, fem"
frère,brother,fʀɛʀ,"n, masc"
rester,"remain, stay, stay over",ʀɛste,v
ville,"city, town",vil,"n, fem"
nouveau,"new, novel",nuvo,adj
mois,month,mwa,"n, masc"
longtemps,"a long time, for a long time, long",lɔ̃tɑ̃,adv
police,police,pɔlis,"n, fem"
eau,water,o,"n, fem"
car,"1. because, for the reason that",kaʀ,prep
car,"2. as, since",kaʀ,prep
cas,"affair, case, matter",ka,"n, masc"
chaque,"each, every",ʃak,
terre,"1. ground, soil",tɛʀ,"n, fem"
terre,"2. earth, land",tɛʀ,"n, fem"
place,"1. location, place, spot",plas,"n, fem"
place,"2. plaza, square, public square",plas,"n, fem"
place,3. post,plas,"n, fem"
type,type,tip,"n, masc"
main,hand,mɛ̃,"n, fem"
pardon,"absolution, pardon",paʀdɔ̃,"n, masc"
ensemble,together,ɑ̃sɑ̃bl,adj
seulement,"exclusively, just, only",sœləmɑ̃,adv
guerre,war,gɛʀ,"n, fem"
beau,"beautiful, fine, handsome, lovely",bo,adj
vers,line (of verse),vɛʀ,"n, masc"
devant,"1. before, in front of",dəvɑ̃,
devant,"2. ahead, formerly, previously",dəvɑ̃,
devant,3. in the presence of,dəvɑ̃,
partie,"1. part, Parthian, share",paʀti,"n, fem"
partie,2. piece,paʀti,"n, fem"
suite,"1. suite, train",sɥit,"n, fem"
suite,2. continuation,sɥit,"n, fem"
suite,"3. consequence, consistency",sɥit,"n, fem"
suite,4. result,sɥit,"n, fem"
suite,"5. adherents, disciples, followers, following, party, supporters",sɥit,"n, fem"
suite,6. order,sɥit,"n, fem"
matin,morning,matɛ̃,"n, fem"
aucun,"none, nothing",okœ̃,
dessus,"above, on top, overhead, upstairs",dəsy,adv
mettre,"1. insert, put in, put away, stow",mɛtʀ,v
mettre,"2. lay down, place, put, put down",mɛtʀ,v
mettre,3. put on,mɛtʀ,v
aide,"aid, help",ɛd,"n, masc"
fin,"1. end, ending",fɛ̃,"n, fem"
fin,"2. lively, witty",fɛ̃,"n, fem"
fin,3. subtle,fɛ̃,"n, fem"
premier,first,pʀəmje,adj
genre,"kind, sort",ʒɑ̃ʀ,"n, masc"
droit,"1. jurisprudence, law",dʀwa,"n, masc"
droit,"2. right-angle, square",dʀwa,"n, masc"
jeune,young,ʒœn,adj
feu,fire,fø,"n, masc"
enfant,"1. bairn, child, infant",ɑ̃fɑ̃,"n, masc"
chambre,"chamber, room",ʃɑ̃bʀ,"n, fem"
gros,"bold, corpulent, fat, thick",gʀo,adj
côté,side,kote,"n, masc"
loin,1. away,lwɛ̃,adj
loin,"2. distant, far, remote",lwɛ̃,adj
laisser,"allow, leave, let, release",lɛse,v
donner,1. give,dɔne,v
donner,"2. exit, go out",dɔne,v
donner,"3. pass, spend",dɔne,v
jouer,1. act,ʒue,v
jouer,2. play,ʒue,v
compte,account,kɔ̃t,"n, masc"
train,train,tʀɛ̃,"n, masc"
pouvoir,be able to,puvwaʀ,v
aura,aura,oʀa,"n, fem"
mourir,"die, expire, pass away",muʀiʀ,v
mari,husband,maʀi,"n, masc"
enfin,"1. at last, finally, ultimately",ɑ̃fɛ̃,adv
enfin,2. at long last,ɑ̃fɛ̃,adv
film,"film, motion picture, movie",film,"n, masc"
fort,1. strong,fɔʀ,adj
fort,2. loud,fɔʀ,adj
fort,3. loudly,fɔʀ,adj
fort,"4. quite, very, very much",fɔʀ,adj
façon,"way, mode, fashion",fasɔ̃,"n, fem"
pays,"country, land",pɛj,"n, masc"
prêt,"finished, ready, through",pʀɛ,adj
madame,1. lady,madam,"n, fem"
madame,"2. madam, Mrs.",madam,"n, fem"
affaire,"affair, business, business deal, case, matter",afɛʀ,"n, fem"
parti,1. decision-making,paʀti,"n, fem"
parti,"2. faction, party, side",paʀti,"n, fem"
parti,"3. adherents, disciples, followers, following",paʀti,"n, fem"
parti,4. supporters,paʀti,"n, fem"
endroit,"location, place, spot",ɑ̃dʀwa,"n, masc"
fou,"fool, idiot",fu,"n, masc"
corps,body,kɔʀ,"n, masc"
hier,yesterday,je,adv
dont,1. of which,dɔ̃,
dont,"2. whichone's, whose",dɔ̃,
dont,3. that one's,dɔ̃,
point,1. point,pwɛ̃,"n, masc"
point,"2. dot, period, spot",pwɛ̃,"n, masc"
cinq,five,sɛ̃k,num
dehors,"abroad, outside",dəɔʀ,adv
cause,"cause, reason",koz,"n, fem"
vivre,"be alive, live",vivʀ,v
près,1. nearby,pʀɛ,adj
près,"2. close, near",pʀɛ,adj
garçon,1. bachelor,gaʀsɔ̃,"n, masc"
garçon,2. waiter,gaʀsɔ̃,"n, masc"
garçon,"3. boy, lad, laddie",gaʀsɔ̃,"n, masc"
chef,1. chef,ʃɛf,"n, masc"
chef,"2. chief, boss",ʃɛf,"n, masc"
haut,"1. summit, surface, top",o,"n, masc"
haut,2. upper garment,o,"n, masc"
capitaine,captain,kapitɛn,"n, masc"
bébé,baby,bebe,"n, masc"
celui,"that, that one",səlɥi,
possible,possible,posibl,adj
ainsi,"1. so, such",ɛ̃si,adv
ainsi,"2. like that, that way, thus",ɛ̃si,adv
quatre,four,katʀ,num
nouvelle,short story,nuvɛl,"n, masc"
plein,full,plɛ̃,adj
semaine,week,səmɛn,"n, fem"
croire,"1. acknowledge, recognize",kʀwaʀ,v
croire,"2. account, accredit, believe, deem",kʀwaʀ,v
marche,"stair, step, rung",maʀʃ,"n, fem"
tour,"1. castle, tower",tuʀ,"n, masc"
tour,"2. file, line, rank, row, turn",tuʀ,"n, masc"
école,school,ekɔl,"n, fem"
manger,eat,mɑ̃ʒe,v
plutôt,1. preferably,plyto,adv
plutôt,"2. enough, quite, rather, sufficiently",plyto,adv
docteur,"doctor, physician",dɔktœʀ,"n, masc"
vérité,"truth, sincerity",veʀite,"n, fem"
vue,1. exterior,vy,"n, fem"
vue,2. look,vy,"n, fem"
vue,"3. sight, view",vy,"n, fem"
arrêter,1. arrest,aʀɛte,v
arrêter,2. stop,aʀɛte,v
envie,1. envy,ɑ̃vi,"n, fem"
envie,2. jealousy,ɑ̃vi,"n, fem"
bientôt,soon,bjɛ̃to,
instant,"instant, moment",ɛ̃stɑ̃,"n, masc"
dernier,last,dɛʀnje,
affaires,"stuff, things",afɛʀ,"n, fem"
arriver,1. end up,aʀive,v
arriver,"2. come about, happen, occur",aʀive,v
arriver,3. succeed,aʀive,v
demander,1. ask,dəmɑ̃de,v
demander,"2. book, order, reserve",dəmɑ̃de,v
demander,"3. ask for, beg, bid, request",dəmɑ̃de,v
demander,"4. demand, postulate, require",dəmɑ̃de,v
meilleur,better,mɛjœʀ,adj
derrière,"1. backside, rump",dɛʀjɛʀ,"n, masc"
derrière,"2. behind, bottom, buttocks",dɛʀjɛʀ,"n, masc"
presque,"1. as if, as though, in a way",pʀɛsk,adv
presque,"2. almost, nearly",pʀɛsk,adv
tellement,"so, such, thus",tɛləmɑ̃,adv
tomber,"drop, fall",tɔ̃be,v
journée,day,ʒuʀne,"n, fem"
appeler,"call, summon",apəle,v
bureau,"bureau, office",byʀo,"n, masc"
confiance,confidence,kɔ̃fjɑ̃s,"n, fem"
garde,1. guard,gaʀd,"n, masc"
garde,"2. conservation, maintenance, preservation, retention",gaʀd,"n, masc"
garde,3. protection,gaʀd,"n, masc"
attendre,"abide, expect, wait, await, wait for",atɑ̃dʀ,v
numéro,"number, numeral",nymeʀo,"n, masc"
dur,"difficult, hard, inconvenient",dyʀ,adj
cours,"class, course",kuʀ,"n, masc"
bonsoir,good evening,bɔ̃swaʀ,
route,1. track,ʀut,"n, fem"
route,"2. road, route, way",ʀut,"n, fem"
route,3. highway,ʀut,"n, fem"
cul,"behind, bottom, buttocks",ky,"n, masc"
abord,"1. access, admission, admittance",abɔʀ,"n, masc"
abord,"2. relation, understanding",abɔʀ,"n, masc"
abord,3. acquaintance,abɔʀ,"n, masc"
abord,4. approach,abɔʀ,"n, masc"
abord,5. encounter,abɔʀ,"n, masc"
important,"important, serious",ɛ̃pɔʀtɑ̃,adj
peine,"1. ache, pain",pɛn,"n, fem"
peine,"2. attempt, effort",pɛn,"n, fem"
peine,3. punishment,pɛn,"n, fem"
peine,"4. annoyance, disappointment, grief",pɛn,"n, fem"
mot,word,mo,"n, masc"
minute,minute,minyt,"n, fem"
ferme,"fast, firm, stable",fɛʀm,adj
plaisir,"fun, pleasure",plɛziʀ,"n, masc"
chien,dog,ʃi,"n, masc"
jeu,game,ʒø,"n, masc"
seigneur,nobleman,sɛnjœʀ,"n, masc"
calme,"calm, quiet, tranquil",kalm,adj
heureux,"fortunate, happy",œʀø,adj
mariage,"1. marriage, matrimony",maʀjaʒ,"n, masc"
parents,parents,paʀ,"n, masc"
dedans,inside,dədɑ̃,adv
entrer,"1. go in, enter, perform",ɑ̃tʀe,v
entrer,2. penetrate,ɑ̃tʀe,v
lit,bed,li,"n, masc"
parfait,perfect,paʀfɛ,adj
musique,music,myzik,"n, fem"
autant,"1. such, such a, that kind of",otɑ̃,
autant,2. that much,otɑ̃,
service,"1. favor, favour",sɛʀvis,"n, masc"
service,"2. function, job, office, post",sɛʀvis,"n, masc"
service,3. section,sɛʀvis,"n, masc"
service,4. crockery set,sɛʀvis,"n, masc"
service,5. service,sɛʀvis,"n, masc"
ceci,"these, this, this here",səsi,
drôle,"1. amusing, entertaining, funny, comic, comical",dʀol,adj
drôle,"2. odd, peculiar, strange",dʀol,adj
parfois,"several times, sometimes",paʀfwa,adv
téléphone,telephone,telefɔn,"n, masc"
retour,return,ʀətuʀ,"n, masc"
pauvre,"1. pitiful, poor",povʀ,adj
pauvre,"2. abject, dismal, meager, miserable, wretched",povʀ,adj
verre,glass,vɛʀ,"n, masc"
général,general,ʒeneʀal,"n, masc"
six,six,sis,num
impossible,impossible,ɛ̃posibl,adj
fête,"celebration, festival, party",fɛt,"n, fem"
président,"chairman, president",pʀezidɑ̃,"n, masc"
doute,doubt,dut,"n, masc"
facile,"easy, simple",fasil,adj
payer,pay,pɛje,v
prison,1. cell,pʀizɔ̃,"n, fem"
prison,"2. jail, gaol, prison",pʀizɔ̃,"n, fem"
café,"1. café, coffee-house",kafe,"n, masc"
café,2. coffee,kafe,"n, masc"
mauvais,"1. rotten, ugly",movɛ,adj
mauvais,"2. bad, miserable, nasty, poor",movɛ,adj
bras,arm,bʀa,"n, masc"
gentil,"1. affable, friendly, good-natured, kind",ʒɑ̃ti,adj
gentil,"2. gentle, soft, sweet, tender",ʒɑ̃ti,adj
gentil,3. obliging,ʒɑ̃ti,adj
gentil,"4. charming, lovely",ʒɑ̃ti,adj
équipe,1. detachment,ekip,"n, fem"
équipe,2. team,ekip,"n, fem"
exactement,exactly,ɛgzaktəmɑ̃,adv
cœur,heart,kˈœʁ,"n, masc"
penser,think,pɑ̃se,v
changer,"change, turn",ʃɑ̃ʒe,v
lieu,"1. inducement, motive, occasion",ljø,"n, masc"
lieu,"2. location, place, spot, venue",ljø,"n, masc"
entendre,hear,ɑ̃tɑ̃dʀ,v
roi,king,ʀwa,"n, masc"
plan,1. map,plɑ̃,"n, masc"
plan,"2. design, diagram, plan, plane",plɑ̃,"n, masc"
partout,"all about, everywhere",paʀtu,adv
joue,cheek,ʒu,"n, fem"
cher,"costly, dear, expensive, pricey",ʃe,adj
rendre,"1. cause, get, make",ʀɑ̃dʀ,v
rendre,"2. throw up, vomit",ʀɑ̃dʀ,v
travailler,work,tʀavaje,v
malade,"ill, sick",malad,adj
regarder,"1. look, watch, view",ʀəgaʀde,v
regarder,2. to be concerned with,ʀəgaʀde,v
montrer,"indicate, point out, show",mɔ̃tʀe,v
armée,army,aʀme,"n, fem"
état,"condition, state",eta,"n, masc"
boire,drink,bwaʀ,v
sécurité,"safety, security",sekyʀite,"n, fem"
dès,"from, since",dɛ,
esprit,1. mind,ɛspʀi,"n, masc"
esprit,2. spirit,ɛspʀi,"n, masc"
année,1. year,ane,"n, masc"
année,2. promotion,ane,"n, masc"
dix,ten,dis,num
bois,"1. forest, woods",bwa,"n, masc"
bois,"2. timber, wood",bwa,"n, masc"
propre,"1. own, personal",pʀɔpʀ,adj
propre,"2. clean, neat, tidy",pʀɔpʀ,adj
essayer,"attempt, test, try",eseje,v
tôt,early,to,adv
surtout,"1. above all, especially, chiefly, mainly, principally",syʀtu,adv
surtout,"2. particularly, specially",syʀtu,adv
arme,weapon,aʀm,"n, fem"
rêve,"1. dream, daydream",ʀɛv,"n, masc"
perdre,lose,pɛʀdʀ,v
avis,"1. advice, counsel",avi,"n, masc"
avis,2. opinion,avi,"n, masc"
pire,worse,piʀ,adj
simple,"simple, straightforward",sɛ̃pl,adj
paix,peace,pɛ,"n, fem"
livre,pound,livʀ,"n, fem"
dormir,"be asleep, sleep",dɔʀmiʀ,v
difficile,"difficult, hard, inconvenient",difisil,adj
retard,delay,ʀətaʀ,"n, masc"
sujet,1. subject,syʒɛ,"n, masc"
sujet,"2. theme, topic",syʒɛ,"n, masc"
appris,"acquired, learnt",apʀi,adj
ensuite,"1. afterwards, next, subsequently",ɑ̃sɥit,adv
ensuite,"2. beyond, then, thereafter",ɑ̃sɥit,adv
ensuite,"3. accordingly, consequently, so, thus",ɑ̃sɥit,adv
sauf,"apart from, besides, except, except for",sof,prep
maître,"1. adept, maestro, master",mɛtʀ,"n, masc"
maître,2. boss,mɛtʀ,"n, masc"
noir,black,nwaʀ,adj
or,gold,ɔʀ,"n, masc"
dîner,"1. dinner, midday meal",dine,"n, masc"
dîner,"2. evening meal, supper",dine,"n, masc"
choix,"choice, election",ʃwa,"n, masc"
sale,"dirty, filthy, nasty, soiled, unclean",sal,adj
sûrement,1. certainly,syʀəmɑ̃,adv
sûrement,"2. absolutely, definitely, without fail",syʀəmɑ̃,adv
an,year,ɑ̃,"n, masc"
ordre,order,ɔʀdʀ,"n, masc"
souvent,"frequently, often, regularly",suvɑ̃,adv
visage,face,vizaʒ,"n, masc"
bout,"1. end, ending",bu,"n, masc"
bout,"2. peak, point, tip, summit",bu,"n, masc"
sérieux,"earnest, serious, staid",seʀjø,adj
âge,age,aʒ,"n, masc"
photo,photograph,foto,"n, fem"
rue,street,ʀy,"n, fem"
tirer,"1. fire, shoot",tiʀe,v
tirer,"2. drag, draw, haul, pull, tug",tiʀe,v
comprendre,"understand, realize",kɔ̃pʀɑ̃dʀ,v
face,face,fas,"n, fem"
marché,"1. bazaar, fair, market",maʀʃe,"n, masc"
marché,2. sales activity,maʀʃe,"n, masc"
marché,3. marketplace,maʀʃe,"n, masc"
honneur,"honor, honour",ɔnœʀ,"n, masc"
ciel,"heaven, sky",sjɛl,"n, masc"
garder,"guard, keep, look after, watch over",gaʀde,v
chemin,"path, road, route, way",ʃəmɛ̃,"n, masc"
grave,"important, serious",gʀav,adj
gauche,left,goʃ,adj
courant,"current, flow, stream",kuʀɑ̃,"n, masc"
amie,friend,ami,"n, fem"
avion,"aeroplane, airplane, plane",avjɔ̃,"n, masc"
con,"cunt, pussy",kɔ̃,"n, masc"
content,"contented, pleased, satisfied",kɔ̃tɑ̃,adj
force,"force, strength, vigour",fɔʀs,"n, fem"
devoir,"1. job, assigned job, task",dəvwaʀ,"n, masc"
devoir,2. duty,dəvwaʀ,"n, masc"
prochaine,"close, near, nearby, next",pʀoʃɛn,adj
prix,"1. premium, prize",pʀi,"n, masc"
prix,2. price,pʀi,"n, masc"
propos,"intention, meaning, plan",pʀopo,"n, masc"
bateau,1. boat,bato,"n, masc"
bateau,"2. ship, vessel",bato,"n, masc"
voix,voice,vwa,"n, fem"
rouge,red,ʀuʒ,adj
début,"beginning, commencement, inception, opening, outset, start",deby,"n, masc"
espèce,1. species,ɛspɛs,"n, fem"
espèce,"2. kind, sort",ɛspɛs,"n, fem"
gueule,"jaws, maw",gœl,"n, fem"
sort,"1. destiny, fate, fortune, luck",sɔʀ,"n, masc"
sort,"2. kind, sort",sɔʀ,"n, masc"
faim,hunger,fɛ̃,"n, fem"
long,long,lɔ̃,adj
voyage,"journey, trip, voyage",vwajaʒ,"n, masc"
message,"errand, message",mɛsaʒ,"n, masc"
reçu,"acknowledgement, receipt",ʀəsy,"n, masc"
bienvenue,welcome,bjɛ̃vəny,
idiot,1. idiot,idjo,"n, masc"
